,0,1
0,"RT @FightFossils: Last week, #PeopleVsFossilFuels flooded DC to demand action from Biden.

Our demands remain clear: End fossil fuel projec…",neutral
1,"RT @nwmalinowski: Biden's DOJ seeking ""terrorism"" enhancements to Black Lives Matter protesters arrested for property damage. 

https://t.c…",negative
2,"RT @VoiceDemocrats: Prior to that, Ambassador Blome was chargé d’affaires at the Libya External Office in Tunisia, consul general at the US…",neutral
3,RT @ProudSocialist: Joe Biden is Blue Trump. https://t.co/x3Gw6dqcYa,neutral
4,"RT @laderechadiario: 🇺🇲 | La nueva cara del Ejército de Estados Unidos ""progresista, feminista e inclusivo"" que está promocionando el gobie…",neutral
5,"RT @reseau_internat: 🇨🇳🇺🇸 Biden peut « parler » multilatéralisme mais ce sont les conceptualisations de l’industrie militaire, des écoles d…",neutral
6,@Breaking911 Biden is going to be our downfall,neutral
7,"RT @KentGilbert01: 友人のロバート・エルドリッヂの記事です。私も全く同じ意見です。この人を在日アメリカ大使にしてはいけません。（英語のみ）
https://t.co/bUf3BAFHhX",neutral
8,RT @Alyssa_Milano: I was just arrested for demanding the Biden Administration and the Senate to use their mandate to protect voting rights.…,neutral
9,"RT @Victoria_186070: ‼️SILENCIO MEDIÁTICO‼️

Trump no se fiaba de Sánchez, Biden tampoco

👉 EEUU no cuenta con España en el foro sobre cibe…",neutral
10,"RT @WR4NYGov: Biden administration putting two Tesla haters in charge of the NHTSA.

Why does @POTUS hate the safest and cleanest vehicles…",negative
11,RT @UncvrngTheTruth: Sean Hannity is lying again. Lying about Immigrants. Lying about Biden. Lying about Covid. Lying about vaccines. Lying…,neutral
12,RT @DrLorenzoMeyer: El antes llamado “Día de la Raza” Biden declaró: “la incursión de Occidente [en América] produjo una ola de devastación…,neutral
13,"RT @DawgsNHawks: Trump files lawsuit to block release of Capitol attack records, because that’s what people with nothing to hide normally d…",neutral
14,RT @OccupyDemocrats: BREAKING: Jen Psaki leaves FOX News’ Peter Doocy speechless after he tries to attack Biden over police vaccine mandate…,neutral
