,0,1
0,Very proud of Chris Bocking and colleagues. Can't believe I have the exact same cup as @POTUS Joe Biden! @Bockatech @ZeroWasteCup @COP26 https://t.co/98ABSJNEAM,positive
1,RT @DrJasonJohnson: I hope every Democrat in the White House is ringing Manchin and Sinema and giving them an earful tonight. Thier obstruc…,neutral
2,"RT @JackPosobiec: BREAKING: Biden just declined to take a call from Terry McAuliffe, per WH official",neutral
3,No llore @jclopezcnn @federicoalves 🇺🇸 | Los republicanos recuperan la Gobernación de Virginia en un revés para el Pdte Biden.,neutral
4,"EEUU. Los demócratas pierden Virginia y, si salvan Nueva Jersey, será por un puñado de votos. En dos de sus feudos electorales, el partido de Joe Biden obtiene un nefasto resultado 
https://t.co/KFKRH2oOlG",neutral
5,"RT @sahilkapur: Digging a little deeper on this 👀

WHITE WOMEN COLLEGE GRADS
VA 2020: 58% Biden, 41% Trump
VA 2021: 62% McAuliffe, 38% Youn…",neutral
6,"RT @joncoopertweets: Should Dr. Jill Biden RESTORE Jackie Kennedy's rose garden? 

Yes           Yes             Yes
👇             👇…",positive
7,RT @JoeGlauber1: Trade and US agriculture: What to expect from the Biden administration https://t.co/EYqCm3ma7N via @AEI,neutral
8,"RT @kilicdarogluk: Şahsın gözleri Biden’a gülüyor; tüm öfkesi kendi milletine. Zamlarla halkı ez, dışarıda yüzünde güller açsın. İnsan mill…",neutral
9,"RT @Jonathan_Witt: A press release from Biden’s Press Secretary, Jen Psaki.

So as not to upset all the liberal arts graduates at Twitter w…",neutral
10,@ConSelfOwns Bravo to Biden’s border patrol and to @ChuckGrassley for owning himself.,neutral
11,"@jloveenc @VillHunterJr @FoxNews The word is compromise can’t have everything, we have two parties and if they can’t get on board plus there’s infighting within Dems, this Biden agenda will go nowhere. If he’s  a true moderate, he can go with infrastructure first, do  one bill at a time instead of one huge bill.",positive
12,"RT @mariamacina: Draghi ha gestito benissimo un difficile G20. Mentre lui era al vertice con Biden, Conte era in TV con la Taverna. Mi sono…",neutral
13,"RT @brasil247: Biden diz que Rússia e China cometeram grande erro por não terem comparecido à COP26
https://t.co/d02UnGcafZ",neutral
14,"RT @CapitanBitcoin: Los medios se han hecho eco de la siesta de Biden, pero ninguno publicó las fotos de su hijo Hunter desnudo, con niñas…",neutral
15,"RT @RezZureKtedPoeT: @uluvdjx @NYIFan88 @ericadamsfornyc @CurtisSliwa Trump vibes?

Mike Bloomberg was the last Republican mayor and he swi…",neutral
16,RT @robbysoave: Democrats need Trump more than Republicans do.,positive
17,RT @ReportsDaNews: Democrats are learning the hard way in Virginia and New Jersey that not getting shit done for the people and no January…,neutral
18,"@peterboghossian Columbia humanities professor Mark Lilla noted, via a NYT essay in the wake of Trump’s election, that it is hard to win power if you are espousing policies that purposefully Balkanize the electorate.  
NYT 11/18/16 “The End of Identity Liberalism.” https://t.co/UVTMA8c0BU https://t.co/fgyDmJhH3q",positive
19,RT @goldengateblond: how do you combat fearmongering on issues like CRT when said issues don’t exist and the people who think they do are a…,neutral
20,"RT @HelenaVillarRT: Los demócratas no van a aprobar nada de calado respecto a los precios de los medicamentos, al igual que tampoco lo hici…",neutral
21,"@domine_cabra Kamala no le ganaba las elecciones a Trump, ahí encajaba Biden. Las feministas están deseando que le pase algo y no se esconden",neutral
22,RT @BachmannRudi: Eigentlich lassen sich aus gestern Abend viele positive Schlüsse ziehen: 1) Trump ist eigentlich  kein winning ticket - R…,positive
23,"RT @trumpAmuro: TRUMPから系列店のyellowに移籍しました

TRUMP移籍者として恥じないように、0からレギュラーで頑張るからみんな会いに来て下さい😌🎶
そしてyellowの皆さんこれから仲良くしてください🎶🎶

毎日いるから会いに来てね🌃 https:…",neutral
24,RT @AvengerResister: Sen. Joe Manchin won’t support Biden’s $1.75 trillion spending bill because of debt concerns. Where was this fight whe…,neutral
25,RT @AriBerman: Breaking: NC Senate passes extreme gerrymandered US House map giving GOP 71-78% of seats in state Trump won with 49.9% of vo…,neutral
26,"RT @Cecillia: Precisei ler 3x: ""Os integrantes do QAnon acreditam que, quando John Kennedy Jr (morto.em 1999) reaparecer, ele anunciará Don…",neutral
27,"RT @lordivan22: 🚨EUA 🇺🇸:Mais uma vitória para o MAGA e para Donald Trump. No 15th distrito do OHIO o candidato indicado por Donald Trump, p…",neutral
28,@SchmuckAmok2 Did Trump find more votes? Is he president again?,positive
29,"RT @alexiskarklins: 🇺🇸 Glenn Youngkin (R) victorieux en Virginie, Phil Murphy (D) en difficulté dans le New Jersey... les résultats élector…",neutral
